Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,16.440001,16.680000,16.270000,16.559999,16.559999,2012600
2021-11-09,16.860001,17.360001,16.820000,17.139999,17.139999,2447800
2021-11-10,16.980000,17.150000,16.440001,16.490000,16.490000,1659500
2021-11-11,17.139999,17.570000,16.910000,17.040001,17.040001,2706100
2021-11-12,16.400000,16.660000,15.450000,16.209999,16.209999,6305500
2021-11-15,16.620001,17.200001,16.580000,16.790001,16.790001,1748200
2021-11-16,16.090000,16.230000,15.620000,15.630000,15.630000,3131900
2021-11-17,15.200000,15.530000,14.870000,15.160000,15.160000,4259300
2021-11-18,15.310000,15.380000,14.890000,15.230000,15.230000,1577300
2021-11-19,15.230000,15.370000,14.720000,14.770000,14.770000,3359000
2021-11-22,14.940000,15.130000,14.490000,14.510000,14.510000,2311100
2021-11-23,14.350000,14.770000,14.230000,14.740000,14.740000,1667900
2021-11-24,14.520000,14.900000,14.310000,14.740000,14.740000,1340400
2021-11-26,14.000000,14.020000,13.400000,13.980000,13.980000,3709200
2021-11-29,14.200000,14.330000,13.860000,14.060000,14.060000,1965700
2021-11-30,13.880000,14.020000,13.280000,13.730000,13.730000,2517900
2021-12-01,13.860000,13.980000,12.820000,12.920000,12.920000,3611700
2021-12-02,13.250000,13.850000,13.100000,13.800000,13.800000,3575000
2021-12-03,14.190000,14.190000,13.320000,13.540000,13.540000,1822800
2021-12-06,13.680000,14.420000,13.600000,14.230000,14.230000,2214400
2021-12-07,14.480000,14.720000,14.330000,14.490000,14.490000,1602000
2021-12-08,15.190000,15.730000,15.110000,15.330000,15.330000,2455500
2021-12-09,14.980000,15.180000,14.760000,14.840000,14.840000,1345300
2021-12-10,15.170000,15.430000,15.000000,15.330000,15.330000,4056600
2021-12-13,15.270000,15.370000,14.460000,14.570000,14.570000,2692000
2021-12-14,14.370000,14.800000,14.370000,14.530000,14.530000,1334700
2021-12-15,14.490000,14.630000,14.050000,14.630000,14.630000,1741100
2021-12-16,14.570000,14.810000,14.400000,14.480000,14.480000,1538100
2021-12-17,14.090000,14.850000,13.970000,14.790000,14.790000,3315600
2021-12-20,13.900000,14.120000,13.590000,13.900000,13.900000,1786600
2021-12-21,15.600000,16.350000,15.390000,16.070000,16.070000,5414700
2021-12-22,16.160000,16.920000,16.040001,16.660000,16.660000,3168100
2021-12-23,16.910000,17.209999,16.780001,17.180000,17.180000,2598200
2021-12-27,17.049999,17.379999,16.889999,17.350000,17.350000,1109600
2021-12-28,17.480000,17.530001,17.260000,17.340000,17.340000,1771700
2021-12-29,17.420000,17.480000,17.070000,17.110001,17.110001,1140600
2021-12-30,17.610001,17.990000,17.440001,17.709999,17.709999,2505000
2021-12-31,17.570000,17.910000,17.510000,17.750000,17.750000,2477800
2022-01-03,17.510000,18.080000,17.350000,17.740000,17.740000,2430300
2022-01-04,17.610001,18.030001,17.309999,17.629999,17.629999,2764500
2022-01-05,17.450001,17.760000,16.469999,16.480000,16.480000,3158100
2022-01-06,16.440001,16.920000,16.100000,16.760000,16.760000,2518100
2022-01-07,17.000000,17.360001,16.809999,17.030001,17.030001,1555500
2022-01-10,17.070000,17.170000,16.490000,16.660000,16.660000,1343300
2022-01-11,16.650000,16.950001,16.639999,16.770000,16.770000,1281800
2022-01-12,17.010000,17.180000,16.629999,16.700001,16.700001,2611100
2022-01-13,16.299999,16.600000,15.960000,16.020000,16.020000,4168100
2022-01-14,15.540000,15.940000,15.540000,15.900000,15.900000,2106900
